2021-09-26 19:56:38.226 [main] INFO  com.wxy.serviceedu.EduApplication - Starting EduApplication on SKY-20200903TBW with PID 10916 (F:\git\MyCode\Java\online_edu\service\service_edu\target\classes started by Administrator in F:\git\MyCode\Java\online_edu)
2021-09-26 19:56:38.282 [main] INFO  com.wxy.serviceedu.EduApplication - The following profiles are active: dev
2021-09-26 19:56:48.072 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2021-09-26 19:56:48.097 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2021-09-26 19:56:48.479 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 206ms. Found 0 Redis repository interfaces.
2021-09-26 19:56:54.280 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8001 (http)
2021-09-26 19:56:54.404 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8001"]
2021-09-26 19:56:54.410 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2021-09-26 19:56:54.437 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.38]
2021-09-26 19:56:55.862 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2021-09-26 19:56:55.864 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 17074 ms
2021-09-26 19:56:57.646 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2021-09-26 19:57:03.543 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2021-09-26 19:57:08.697 [main] INFO  s.d.s.w.PropertySourcedRequestMappingHandlerMapping - Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
2021-09-26 19:57:09.536 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2021-09-26 19:57:17.766 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8001"]
2021-09-26 19:57:18.008 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8001 (http) with context path ''
2021-09-26 19:57:18.017 [main] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper - Context refreshed
2021-09-26 19:57:18.235 [main] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
2021-09-26 19:57:18.708 [main] INFO  s.d.spring.web.scanners.ApiListingReferenceScanner - Scanning for api listing references
2021-09-26 19:57:21.077 [main] INFO  com.wxy.serviceedu.EduApplication - Started EduApplication in 47.394 seconds (JVM running for 59.493)
